Period,Continent,TotalPopulation
2021-04-01,NHS ENGLAND SOUTH EAST ,15953
2021-04-01,NHS ENGLAND LONDON,31478
2021-04-01,NHS ENGLAND LONDON,37335
2021-04-01,NHS ENGLAND SOUTH EAST ,9720
2021-04-01,NHS ENGLAND SOUTH WEST ,25600
2021-04-01,NHS ENGLAND SOUTH WEST ,16215
2021-04-01,NHS ENGLAND SOUTH WEST ,7247
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9915
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,35232
2021-04-01,NHS ENGLAND LONDON,18860
2021-04-01,NHS ENGLAND LONDON,7816
2021-04-01,NHS ENGLAND LONDON,18992
2021-04-01,NHS ENGLAND LONDON,17399
2021-04-01,NHS ENGLAND LONDON,5329
2021-04-01,NHS ENGLAND LONDON,25359
2021-04-01,NHS ENGLAND SOUTH WEST ,7569
2021-04-01,NHS ENGLAND MIDLANDS ,26827
2021-04-01,NHS ENGLAND NORTH WEST ,10499
2021-04-01,NHS ENGLAND NORTH WEST ,18359
2021-04-01,NHS ENGLAND NORTH WEST ,6662
2021-04-01,NHS ENGLAND NORTH WEST ,9094
2021-04-01,NHS ENGLAND NORTH WEST ,1776
2021-04-01,NHS ENGLAND NORTH WEST ,5331
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,25130
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,23358
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6377
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7038
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4531
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,4003
2021-04-01,NHS ENGLAND SOUTH WEST ,6646
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,20964
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,44123
2021-04-01,NHS ENGLAND SOUTH EAST ,21486
2021-04-01,NHS ENGLAND SOUTH EAST ,18012
2021-04-01,NHS ENGLAND SOUTH WEST ,7830
2021-04-01,NHS ENGLAND SOUTH WEST ,17159
2021-04-01,NHS ENGLAND NORTH WEST ,30898
2021-04-01,NHS ENGLAND NORTH WEST ,7513
2021-04-01,NHS ENGLAND NORTH WEST ,6507
2021-04-01,NHS ENGLAND LONDON,30364
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20637
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8562
2021-04-01,NHS ENGLAND MIDLANDS ,5884
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,14433
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,6754
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,3896
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,34682
2021-04-01,NHS ENGLAND SOUTH WEST ,16337
2021-04-01,NHS ENGLAND SOUTH WEST ,15426
2021-04-01,NHS ENGLAND SOUTH EAST ,25469
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15534
2021-04-01,NHS ENGLAND SOUTH EAST ,11435
2021-04-01,NHS ENGLAND SOUTH EAST ,24926
2021-04-01,NHS ENGLAND LONDON,14170
2021-04-01,NHS ENGLAND LONDON,20017
2021-04-01,NHS ENGLAND LONDON,27183
2021-04-01,NHS ENGLAND LONDON,22685
2021-04-01,NHS ENGLAND SOUTH WEST ,3134
2021-04-01,NHS ENGLAND MIDLANDS ,23703
2021-04-01,NHS ENGLAND MIDLANDS ,19851
2021-04-01,NHS ENGLAND MIDLANDS ,18703
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12368
2021-04-01,NHS ENGLAND NORTH WEST ,7867
2021-04-01,NHS ENGLAND NORTH WEST ,11346
2021-04-01,NHS ENGLAND LONDON,22485
2021-04-01,NHS ENGLAND MIDLANDS ,11235
2021-04-01,NHS ENGLAND SOUTH WEST ,21035
2021-04-01,NHS ENGLAND MIDLANDS ,25422
2021-04-01,NHS ENGLAND LONDON,9167
2021-04-01,NHS ENGLAND MIDLANDS ,1850
2021-04-01,NHS ENGLAND MIDLANDS ,24433
2021-04-01,NHS ENGLAND MIDLANDS ,0
2021-04-01,NHS ENGLAND MIDLANDS ,4789
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,13621
2021-04-01,NHS ENGLAND NORTH WEST ,32118
2021-04-01,NHS ENGLAND NORTH WEST ,134
2021-04-01,NHS ENGLAND NORTH WEST ,8133
2021-04-01,NHS ENGLAND SOUTH WEST ,15250
2021-04-01,NHS ENGLAND SOUTH EAST ,11345
2021-04-01,NHS ENGLAND SOUTH EAST ,19852
2021-04-01,NHS ENGLAND MIDLANDS ,12020
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17579
2021-04-01,NHS ENGLAND MIDLANDS ,13190
2021-04-01,NHS ENGLAND MIDLANDS ,5849
2021-04-01,NHS ENGLAND SOUTH EAST ,8867
2021-04-01,NHS ENGLAND SOUTH WEST ,13237
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8780
2021-04-01,NHS ENGLAND LONDON,11400
2021-04-01,NHS ENGLAND SOUTH EAST ,21168
2021-04-01,NHS ENGLAND SOUTH EAST ,11178
2021-04-01,NHS ENGLAND MIDLANDS ,10174
2021-04-01,NHS ENGLAND LONDON,42999
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,12085
2021-04-01,NHS ENGLAND LONDON,17087
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14861
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,25175
2021-04-01,NHS ENGLAND NORTH WEST ,18449
2021-04-01,NHS ENGLAND MIDLANDS ,26172
2021-04-01,NHS ENGLAND LONDON,12605
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,25044
2021-04-01,NHS ENGLAND SOUTH WEST ,13649
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13157
2021-04-01,NHS ENGLAND MIDLANDS ,36945
2021-04-01,NHS ENGLAND SOUTH EAST ,12396
2021-04-01,NHS ENGLAND SOUTH EAST ,16278
2021-04-01,NHS ENGLAND SOUTH EAST ,9867
2021-04-01,NHS ENGLAND SOUTH WEST ,4557
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20998
2021-04-01,NHS ENGLAND NORTH WEST ,9892
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13359
2021-04-01,NHS ENGLAND SOUTH WEST ,4937
2021-04-01,NHS ENGLAND LONDON,32973
2021-04-01,NHS ENGLAND SOUTH EAST ,26244
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9200
2021-04-01,NHS ENGLAND NORTH WEST ,13704
2021-04-01,NHS ENGLAND SOUTH EAST ,3613
2021-04-01,NHS ENGLAND NORTH WEST ,21521
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20627
2021-04-01,NHS ENGLAND MIDLANDS ,22815
2021-04-01,NHS ENGLAND MIDLANDS ,22019
2021-04-01,NHS ENGLAND SOUTH EAST ,27671
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,15404
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,20199
2021-04-01,NHS ENGLAND NORTH WEST ,14573
2021-04-01,NHS ENGLAND MIDLANDS ,11485
2021-04-01,NHS ENGLAND NORTH WEST ,22669
2021-04-01,NHS ENGLAND SOUTH EAST ,7325
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15458
2021-04-01,NHS ENGLAND MIDLANDS ,12818
2021-04-01,NHS ENGLAND SOUTH EAST ,6508
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17371
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1934
2021-04-01,NHS ENGLAND MIDLANDS ,26118
2021-04-01,NHS ENGLAND NORTH WEST ,26154
2021-04-01,NHS ENGLAND NORTH WEST ,9515
2021-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15050
2021-04-01,NHS ENGLAND SOUTH EAST ,19801
2021-04-01,NHS ENGLAND NORTH WEST ,16171
2021-04-01,NHS ENGLAND MIDLANDS ,29364
2021-04-01,NHS ENGLAND NORTH WEST ,11855
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,8694
2021-04-01,NHS ENGLAND MIDLANDS ,6383
2021-04-01,NHS ENGLAND NORTH WEST ,9065
2021-04-01,NHS ENGLAND MIDLANDS ,9089
2021-04-01,NHS ENGLAND LONDON,8056
2021-04-01,NHS ENGLAND SOUTH WEST ,2371
2021-04-01,NHS ENGLAND MIDLANDS ,3978
2021-04-01,NHS ENGLAND LONDON,19029
2021-04-01,NHS ENGLAND SOUTH EAST ,35445
2021-04-01,NHS ENGLAND LONDON,9540
2021-04-01,NHS ENGLAND SOUTH EAST ,10843
2021-04-01,NHS ENGLAND SOUTH EAST ,0
2021-04-01,NHS ENGLAND LONDON,16545
2021-04-01,NHS ENGLAND EAST OF ENGLAND ,7599
2021-04-01,NHS ENGLAND NORTH WEST ,10422
2021-04-01,NHS ENGLAND MIDLANDS ,9535
2021-04-01,NHS ENGLAND SOUTH EAST ,3745
2021-04-01,NHS ENGLAND MIDLANDS ,0
2021-04-01,NHS ENGLAND SOUTH EAST ,7116
2021-04-01,NHS ENGLAND LONDON,5475
2021-04-01,NHS ENGLAND MIDLANDS ,17746
2021-04-01,NHS ENGLAND SOUTH EAST ,0
2021-05-01,NHS ENGLAND MIDLANDS ,11479
2021-05-01,NHS ENGLAND SOUTH WEST ,0
2021-05-01,NHS ENGLAND NORTH WEST ,0
2021-05-01,NHS ENGLAND SOUTH EAST ,5252
2021-05-01,NHS ENGLAND LONDON,9833
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4659
2021-05-01,NHS ENGLAND SOUTH EAST ,22135
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2654
2021-05-01,NHS ENGLAND SOUTH WEST ,1890
2021-05-01,NHS ENGLAND MIDLANDS ,515
2021-05-01,NHS ENGLAND MIDLANDS ,6038
2021-05-01,NHS ENGLAND MIDLANDS ,3755
2021-05-01,NHS ENGLAND MIDLANDS ,1064
2021-05-01,NHS ENGLAND SOUTH WEST ,6347
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,8051
2021-05-01,NHS ENGLAND SOUTH EAST ,12233
2021-05-01,NHS ENGLAND SOUTH WEST ,10423
2021-05-01,NHS ENGLAND SOUTH EAST ,3146
2021-05-01,NHS ENGLAND SOUTH EAST ,0
2021-05-01,NHS ENGLAND MIDLANDS ,10941
2021-05-01,NHS ENGLAND MIDLANDS ,2762
2021-05-01,NHS ENGLAND SOUTH WEST ,11307
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5329
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2936
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8165
2021-05-01,NHS ENGLAND MIDLANDS ,3135
2021-05-01,NHS ENGLAND MIDLANDS ,8959
2021-05-01,NHS ENGLAND MIDLANDS ,13262
2021-05-01,NHS ENGLAND MIDLANDS ,3008
2021-05-01,NHS ENGLAND MIDLANDS ,4712
2021-05-01,NHS ENGLAND MIDLANDS ,5481
2021-05-01,NHS ENGLAND MIDLANDS ,4093
2021-05-01,NHS ENGLAND SOUTH EAST ,2526
2021-05-01,NHS ENGLAND SOUTH EAST ,6028
2021-05-01,NHS ENGLAND NORTH WEST ,485
2021-05-01,NHS ENGLAND SOUTH WEST ,11501
2021-05-01,NHS ENGLAND MIDLANDS ,4711
2021-05-01,NHS ENGLAND MIDLANDS ,2418
2021-05-01,NHS ENGLAND SOUTH EAST ,14437
2021-05-01,NHS ENGLAND SOUTH EAST ,7573
2021-05-01,NHS ENGLAND SOUTH EAST ,12963
2021-05-01,NHS ENGLAND SOUTH EAST ,2569
2021-05-01,NHS ENGLAND NORTH WEST ,1515
2021-05-01,NHS ENGLAND NORTH WEST ,38351
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,26546
2021-05-01,NHS ENGLAND SOUTH WEST ,10865
2021-05-01,NHS ENGLAND MIDLANDS ,0
2021-05-01,NHS ENGLAND SOUTH EAST ,19729
2021-05-01,NHS ENGLAND LONDON,45495
2021-05-01,NHS ENGLAND LONDON,18961
2021-05-01,NHS ENGLAND SOUTH EAST ,11558
2021-05-01,NHS ENGLAND SOUTH WEST ,9375
2021-05-01,NHS ENGLAND SOUTH WEST ,27116
2021-05-01,NHS ENGLAND SOUTH WEST ,16744
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8296
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,43715
2021-05-01,NHS ENGLAND LONDON,27326
2021-05-01,NHS ENGLAND LONDON,2515
2021-05-01,NHS ENGLAND LONDON,16527
2021-05-01,NHS ENGLAND LONDON,2352
2021-05-01,NHS ENGLAND LONDON,7349
2021-05-01,NHS ENGLAND LONDON,10563
2021-05-01,NHS ENGLAND SOUTH WEST ,10817
2021-05-01,NHS ENGLAND MIDLANDS ,16770
2021-05-01,NHS ENGLAND NORTH WEST ,18542
2021-05-01,NHS ENGLAND NORTH WEST ,9248
2021-05-01,NHS ENGLAND NORTH WEST ,768
2021-05-01,NHS ENGLAND NORTH WEST ,12179
2021-05-01,NHS ENGLAND NORTH WEST ,6253
2021-05-01,NHS ENGLAND NORTH WEST ,4027
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,12542
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,31175
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18328
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4765
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2788
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,12847
2021-05-01,NHS ENGLAND SOUTH WEST ,18173
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,9499
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,20486
2021-05-01,NHS ENGLAND SOUTH EAST ,13745
2021-05-01,NHS ENGLAND SOUTH EAST ,23041
2021-05-01,NHS ENGLAND SOUTH WEST ,5249
2021-05-01,NHS ENGLAND SOUTH WEST ,14273
2021-05-01,NHS ENGLAND NORTH WEST ,22985
2021-05-01,NHS ENGLAND NORTH WEST ,9322
2021-05-01,NHS ENGLAND NORTH WEST ,2722
2021-05-01,NHS ENGLAND LONDON,22851
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8488
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7515
2021-05-01,NHS ENGLAND MIDLANDS ,14138
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,5819
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,14657
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,25266
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,30432
2021-05-01,NHS ENGLAND SOUTH WEST ,13331
2021-05-01,NHS ENGLAND SOUTH WEST ,8047
2021-05-01,NHS ENGLAND SOUTH EAST ,21654
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20904
2021-05-01,NHS ENGLAND SOUTH EAST ,12114
2021-05-01,NHS ENGLAND SOUTH EAST ,28385
2021-05-01,NHS ENGLAND LONDON,12327
2021-05-01,NHS ENGLAND LONDON,16767
2021-05-01,NHS ENGLAND LONDON,11662
2021-05-01,NHS ENGLAND LONDON,21536
2021-05-01,NHS ENGLAND SOUTH WEST ,3170
2021-05-01,NHS ENGLAND MIDLANDS ,13801
2021-05-01,NHS ENGLAND MIDLANDS ,16500
2021-05-01,NHS ENGLAND MIDLANDS ,22462
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,22610
2021-05-01,NHS ENGLAND NORTH WEST ,463
2021-05-01,NHS ENGLAND NORTH WEST ,6044
2021-05-01,NHS ENGLAND LONDON,21861
2021-05-01,NHS ENGLAND MIDLANDS ,20759
2021-05-01,NHS ENGLAND SOUTH WEST ,21159
2021-05-01,NHS ENGLAND MIDLANDS ,18735
2021-05-01,NHS ENGLAND LONDON,12987
2021-05-01,NHS ENGLAND MIDLANDS ,0
2021-05-01,NHS ENGLAND MIDLANDS ,13816
2021-05-01,NHS ENGLAND MIDLANDS ,9033
2021-05-01,NHS ENGLAND MIDLANDS ,4286
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,10415
2021-05-01,NHS ENGLAND NORTH WEST ,29299
2021-05-01,NHS ENGLAND NORTH WEST ,16015
2021-05-01,NHS ENGLAND NORTH WEST ,21340
2021-05-01,NHS ENGLAND SOUTH WEST ,16750
2021-05-01,NHS ENGLAND SOUTH EAST ,18493
2021-05-01,NHS ENGLAND SOUTH EAST ,14682
2021-05-01,NHS ENGLAND MIDLANDS ,21679
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13632
2021-05-01,NHS ENGLAND MIDLANDS ,14010
2021-05-01,NHS ENGLAND MIDLANDS ,21896
2021-05-01,NHS ENGLAND SOUTH EAST ,6487
2021-05-01,NHS ENGLAND SOUTH WEST ,17162
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,25667
2021-05-01,NHS ENGLAND LONDON,11643
2021-05-01,NHS ENGLAND SOUTH EAST ,23013
2021-05-01,NHS ENGLAND SOUTH EAST ,1094
2021-05-01,NHS ENGLAND MIDLANDS ,14450
2021-05-01,NHS ENGLAND LONDON,26803
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,11615
2021-05-01,NHS ENGLAND LONDON,10739
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18935
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,43125
2021-05-01,NHS ENGLAND NORTH WEST ,10016
2021-05-01,NHS ENGLAND MIDLANDS ,38593
2021-05-01,NHS ENGLAND LONDON,17669
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24438
2021-05-01,NHS ENGLAND SOUTH WEST ,18453
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,23203
2021-05-01,NHS ENGLAND MIDLANDS ,25075
2021-05-01,NHS ENGLAND SOUTH EAST ,30414
2021-05-01,NHS ENGLAND SOUTH EAST ,10814
2021-05-01,NHS ENGLAND SOUTH EAST ,14936
2021-05-01,NHS ENGLAND SOUTH WEST ,2531
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17397
2021-05-01,NHS ENGLAND NORTH WEST ,17765
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5204
2021-05-01,NHS ENGLAND SOUTH WEST ,16698
2021-05-01,NHS ENGLAND LONDON,17211
2021-05-01,NHS ENGLAND SOUTH EAST ,15248
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14074
2021-05-01,NHS ENGLAND NORTH WEST ,23855
2021-05-01,NHS ENGLAND SOUTH EAST ,19
2021-05-01,NHS ENGLAND NORTH WEST ,16657
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14480
2021-05-01,NHS ENGLAND MIDLANDS ,8502
2021-05-01,NHS ENGLAND MIDLANDS ,32496
2021-05-01,NHS ENGLAND SOUTH EAST ,23643
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,12929
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,14373
2021-05-01,NHS ENGLAND NORTH WEST ,8089
2021-05-01,NHS ENGLAND MIDLANDS ,14758
2021-05-01,NHS ENGLAND NORTH WEST ,1131
2021-05-01,NHS ENGLAND SOUTH EAST ,12508
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15717
2021-05-01,NHS ENGLAND MIDLANDS ,24779
2021-05-01,NHS ENGLAND SOUTH EAST ,10566
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15565
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8232
2021-05-01,NHS ENGLAND MIDLANDS ,28624
2021-05-01,NHS ENGLAND NORTH WEST ,29843
2021-05-01,NHS ENGLAND NORTH WEST ,19236
2021-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16809
2021-05-01,NHS ENGLAND SOUTH EAST ,16832
2021-05-01,NHS ENGLAND NORTH WEST ,22496
2021-05-01,NHS ENGLAND MIDLANDS ,12839
2021-05-01,NHS ENGLAND NORTH WEST ,9045
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,5206
2021-05-01,NHS ENGLAND MIDLANDS ,18419
2021-05-01,NHS ENGLAND NORTH WEST ,2492
2021-05-01,NHS ENGLAND MIDLANDS ,4826
2021-05-01,NHS ENGLAND LONDON,4866
2021-05-01,NHS ENGLAND SOUTH WEST ,5238
2021-05-01,NHS ENGLAND MIDLANDS ,4875
2021-05-01,NHS ENGLAND LONDON,16764
2021-05-01,NHS ENGLAND SOUTH EAST ,31831
2021-05-01,NHS ENGLAND LONDON,18485
2021-05-01,NHS ENGLAND SOUTH EAST ,9670
2021-05-01,NHS ENGLAND SOUTH EAST ,1276
2021-05-01,NHS ENGLAND LONDON,7727
2021-05-01,NHS ENGLAND EAST OF ENGLAND ,2616
2021-05-01,NHS ENGLAND NORTH WEST ,10690
2021-05-01,NHS ENGLAND MIDLANDS ,13269
2021-05-01,NHS ENGLAND SOUTH EAST ,6738
2021-05-01,NHS ENGLAND MIDLANDS ,7792
2021-05-01,NHS ENGLAND SOUTH EAST ,1133
2021-05-01,NHS ENGLAND LONDON,6991
2021-05-01,NHS ENGLAND MIDLANDS ,22984
2021-05-01,NHS ENGLAND SOUTH EAST ,8061
2021-06-01,NHS ENGLAND MIDLANDS ,1854
2021-06-01,NHS ENGLAND SOUTH WEST ,1844
2021-06-01,NHS ENGLAND NORTH WEST ,9819
2021-06-01,NHS ENGLAND SOUTH EAST ,9156
2021-06-01,NHS ENGLAND LONDON,2018
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9163
2021-06-01,NHS ENGLAND SOUTH EAST ,6485
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10732
2021-06-01,NHS ENGLAND SOUTH WEST ,4870
2021-06-01,NHS ENGLAND MIDLANDS ,3059
2021-06-01,NHS ENGLAND MIDLANDS ,2717
2021-06-01,NHS ENGLAND MIDLANDS ,8528
2021-06-01,NHS ENGLAND MIDLANDS ,0
2021-06-01,NHS ENGLAND SOUTH WEST ,0
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,10569
2021-06-01,NHS ENGLAND SOUTH EAST ,16065
2021-06-01,NHS ENGLAND SOUTH WEST ,1719
2021-06-01,NHS ENGLAND SOUTH EAST ,0
2021-06-01,NHS ENGLAND SOUTH EAST ,4118
2021-06-01,NHS ENGLAND MIDLANDS ,3941
2021-06-01,NHS ENGLAND MIDLANDS ,8992
2021-06-01,NHS ENGLAND SOUTH WEST ,8663
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7589
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6083
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1499
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17816
2021-06-01,NHS ENGLAND MIDLANDS ,3930
2021-06-01,NHS ENGLAND MIDLANDS ,15091
2021-06-01,NHS ENGLAND MIDLANDS ,7959
2021-06-01,NHS ENGLAND MIDLANDS ,2547
2021-06-01,NHS ENGLAND MIDLANDS ,2562
2021-06-01,NHS ENGLAND MIDLANDS ,3772
2021-06-01,NHS ENGLAND MIDLANDS ,3367
2021-06-01,NHS ENGLAND SOUTH EAST ,3221
2021-06-01,NHS ENGLAND SOUTH EAST ,6408
2021-06-01,NHS ENGLAND NORTH WEST ,13980
2021-06-01,NHS ENGLAND SOUTH WEST ,2855
2021-06-01,NHS ENGLAND MIDLANDS ,2682
2021-06-01,NHS ENGLAND MIDLANDS ,11412
2021-06-01,NHS ENGLAND SOUTH EAST ,12419
2021-06-01,NHS ENGLAND SOUTH EAST ,7199
2021-06-01,NHS ENGLAND SOUTH EAST ,2589
2021-06-01,NHS ENGLAND SOUTH EAST ,3468
2021-06-01,NHS ENGLAND NORTH WEST ,3545
2021-06-01,NHS ENGLAND NORTH WEST ,36998
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18066
2021-06-01,NHS ENGLAND SOUTH WEST ,13959
2021-06-01,NHS ENGLAND MIDLANDS ,7390
2021-06-01,NHS ENGLAND SOUTH EAST ,9366
2021-06-01,NHS ENGLAND LONDON,37479
2021-06-01,NHS ENGLAND LONDON,34318
2021-06-01,NHS ENGLAND SOUTH EAST ,17542
2021-06-01,NHS ENGLAND SOUTH WEST ,5435
2021-06-01,NHS ENGLAND SOUTH WEST ,19760
2021-06-01,NHS ENGLAND SOUTH WEST ,4922
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8382
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,35056
2021-06-01,NHS ENGLAND LONDON,22427
2021-06-01,NHS ENGLAND LONDON,11404
2021-06-01,NHS ENGLAND LONDON,25032
2021-06-01,NHS ENGLAND LONDON,6668
2021-06-01,NHS ENGLAND LONDON,10709
2021-06-01,NHS ENGLAND LONDON,17488
2021-06-01,NHS ENGLAND SOUTH WEST ,10339
2021-06-01,NHS ENGLAND MIDLANDS ,14939
2021-06-01,NHS ENGLAND NORTH WEST ,21567
2021-06-01,NHS ENGLAND NORTH WEST ,6742
2021-06-01,NHS ENGLAND NORTH WEST ,7833
2021-06-01,NHS ENGLAND NORTH WEST ,7166
2021-06-01,NHS ENGLAND NORTH WEST ,9032
2021-06-01,NHS ENGLAND NORTH WEST ,9976
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,27639
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,34673
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6992
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11081
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,22209
2021-06-01,NHS ENGLAND SOUTH WEST ,18266
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,12487
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,18813
2021-06-01,NHS ENGLAND SOUTH EAST ,14494
2021-06-01,NHS ENGLAND SOUTH EAST ,20283
2021-06-01,NHS ENGLAND SOUTH WEST ,5707
2021-06-01,NHS ENGLAND SOUTH WEST ,11515
2021-06-01,NHS ENGLAND NORTH WEST ,36626
2021-06-01,NHS ENGLAND NORTH WEST ,6837
2021-06-01,NHS ENGLAND NORTH WEST ,0
2021-06-01,NHS ENGLAND LONDON,34856
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11344
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7835
2021-06-01,NHS ENGLAND MIDLANDS ,18682
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,17490
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,13272
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,21549
2021-06-01,NHS ENGLAND EAST OF ENGLAND ,6156
2021-06-01,NHS ENGLAND SOUTH WEST ,24702
2021-06-01,NHS ENGLAND SOUTH WEST ,25642
2021-06-01,NHS ENGLAND SOUTH EAST ,20884
2021-06-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8889
2021-06-01,NHS ENGLAND SOUTH EAST ,19744
2021-06-01,NHS ENGLAND SOUTH EAST ,21312
